0
"11 - 19 BELAIR CLOSE, Park Ridge South, QLD, 4125"
"10 PATAMBA STREET, Kooringal, NSW, 2650"
"28 / 14 - 18 PEGGY STREET, Mays Hill, NSW, 2145"
"1 - 9 MIDDEN COURT, Ningi, QLD, 4511"
"22 BREAKERS WAY, Korora, NSW, 2450"
"84A Wyuna Ave, Freshwater, NSW, 2096"
"2 / 85 ABUKLEA ROAD, Marsfield, NSW, 2122"
"1 MIDDLEMISS STREET, Everton Park, QLD, 4053"
"33 / 14 - 18 ETHEL AVENUE, Brookvale, NSW, 2100"
"1 SEPTIMUS STREET, Erskineville, NSW, 2043"
"44 CASTLE AVENUE, Goolwa Beach, SA, 5214"
"1 SEPTIMUS STREET, Chatswood, VIC, 3067"
"9 MIDDLEMISS STREET, Lavender Bay, NSW, 2060"
"77 ARLINGTON STREET, Rockdale, NSW, 2216"
"7 BENELONG ROAD, Cremorne, NSW, 2090"
"1/77 Hayberry Street, Crows Nest, NSW, 2065"
"11 THIRD AVENUE, Lane Cove, NSW, 2066"
"88 CAMDEN BOULEVARD, Aubin Grove, WA, 6164"
1600 Pensylvania Ave Washington US  
"1 DARLING AVENUE, Camberwell, VIC, 3124"
"1 / 56 BLUES POINT ROAD, Mcmahons Point, NSW, 2060"
"1 SEPTIMUS AVENUE, Punchbowl, NSW, 2196"
"25 ILLICH STREET, Kurrimine Beach, QLD, 4871"
"1 THIRD AVENUE, Lane Cove, NSW, 2066"
"1 CAMDEN STREET, Newtown, NSW, 2042"
